1stFlrSF,BsmtFinSF1,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1314,922,294,1957.0,1314,8400,5,1314,1957,1957
799,0,380,1993.0,1571,7837,6,799,1993,1994
796,0,0,1979.0,796,8777,5,796,1910,1950
981,569,240,1939.0,1768,7200,5,731,1937,1950
1026,218,308,1924.0,1691,5000,5,1026,1924,1950
894,894,552,1975.0,894,9800,5,894,1972,1972
684,0,400,2005.0,1560,11911,6,684,2005,2005
796,735,240,1922.0,1154,5436,4,796,1922,2007
1422,588,576,1981.0,1422,12090,6,1422,1981,1981
1496,0,474,2007.0,1496,9158,8,1496,2007,2007
913,187,240,1990.0,913,8400,6,814,1966,1966
1086,516,484,1966.0,1086,13400,5,1024,1966,1966
1601,704,478,1978.0,1601,11880,7,1271,1978,1978
1186,454,486,1965.0,1986,13600,7,768,1965,1990
1164,0,528,1969.0,1164,9600,7,1164,1969,1969
1010,0,390,2002.0,2267,8068,6,1010,2002,2002
2259,35,450,1953.0,2259,21000,6,1809,1953,1953
825,180,720,1963.0,825,8235,5,825,1955,1995
698,535,440,1977.0,1426,7950,6,690,1977,1977
1651,1398,616,1986.0,1651,12416,6,1606,1986,1986
789,0,200,1926.0,789,10594,5,768,1926,1950
1338,500,968,1969.0,2634,11643,5,1248,1969,1969
1042,0,225,1928.0,1576,6240,5,1042,1928,1950
783,0,393,2005.0,1484,10237,6,783,2005,2007
1200,833,555,2003.0,1200,10083,7,1176,2003,2003
625,0,528,2006.0,1250,4251,7,625,2006,2007
1902,1406,567,1959.0,1902,17500,7,1902,1959,2002
1040,0,400,1949.0,1040,8544,3,0,1949,1950
1502,0,644,2009.0,1502,9541,7,1502,2009,2009
1228,0,271,1966.0,1228,8544,5,1228,1966,2006
1036,375,288,1949.0,1268,12144,5,832,1949,1950
864,468,0,1979.0,864,5604,5,864,1925,1950
1686,625,612,1980.0,1686,10240,6,1686,1980,1980
1620,1116,490,1993.0,1620,9991,4,1281,1976,1993
858,685,576,1983.0,858,7252,5,858,1982,1982
1301,0,572,2006.0,1301,7200,7,1293,2006,2006
1505,1024,505,1953.0,1505,12160,6,1505,1953,1953
864,0,280,1972.0,864,9353,4,864,1970,1970
1224,1086,528,1979.0,1224,7018,5,1086,1979,1979
1383,1064,354,1954.0,1383,13284,5,1383,1954,1954
816,641,264,1982.0,816,6600,5,816,1982,2008
1344,1309,784,1997.0,1344,7060,7,1344,1997,1998
703,0,540,2007.0,1392,3604,7,689,2007,2007
1065,0,461,1974.0,1065,8892,5,1065,1960,1960
661,0,552,1985.0,1250,5362,5,661,1910,2003
736,0,0,1979.0,1452,4456,4,736,1920,2008
572,0,0,1979.0,1096,9600,6,572,1924,1950
1428,0,480,2007.0,1428,11639,7,1428,2007,2008
773,219,431,1995.0,1658,8000,6,773,1995,1996
864,398,720,1980.0,864,7200,5,864,1950,2002
948,0,0,1979.0,1928,7082,5,686,1916,1995
1537,0,462,1962.0,1537,8400,6,1319,1962,2005
879,0,660,2006.0,1863,14054,7,879,2006,2006
1026,765,812,2008.0,2007,11003,10,1017,2008,2008
1792,1567,874,2003.0,1792,11846,9,1792,2003,2004
968,0,480,1935.0,968,8520,5,968,1923,2006
1512,619,619,1968.0,2654,11029,6,1054,1968,1984
960,648,364,1965.0,960,10246,4,648,1965,2001
1521,0,880,1988.0,2775,13500,10,1237,1893,2000
2069,0,694,2006.0,2643,13693,9,2153,2006,2006
1646,1373,482,2004.0,1646,3842,8,1594,2004,2005
1298,1258,403,1985.0,1298,11200,6,1298,1985,1985
1694,0,776,2008.0,1694,10475,8,1694,2008,2008
958,498,301,1960.0,958,12772,6,958,1960,1998
999,784,300,1962.0,999,10205,5,925,1962,1962
780,0,0,1979.0,1020,6342,5,780,1875,1996
814,533,663,2000.0,1674,7500,7,814,2000,2000
2113,1696,839,1995.0,2113,10437,8,2109,1995,1995
1118,156,551,1976.0,2030,12046,6,848,1976,1976
626,0,288,1980.0,1217,10762,6,626,1980,1980
1284,0,647,2002.0,2169,9375,8,1284,2002,2002
979,595,467,1994.0,1850,29959,7,973,1994,1994
1144,25,336,1962.0,1144,9204,5,1144,1963,1963
1504,16,437,2005.0,1504,3182,7,1346,2005,2006
1309,663,484,1974.0,1309,10140,6,1040,1974,1999
698,204,280,1939.0,1258,9060,6,560,1939,1950
1422,0,286,1960.0,1422,12342,5,978,1960,1978
1442,608,301,1958.0,1442,9750,6,1442,1958,1958
768,352,240,1946.0,1200,11767,5,768,1946,1995
953,0,460,2000.0,1664,8121,6,953,2000,2000
1360,384,572,1962.0,1360,7134,5,384,1955,1955
707,0,403,2004.0,1414,9056,8,707,2004,2004
1342,251,457,1967.0,1342,9790,6,1372,1967,1967
793,507,410,1939.0,1118,7800,5,793,1939,1950
1170,503,360,1932.0,2345,16560,6,952,1932,1950
1844,705,546,1977.0,1844,11751,6,1844,1977,1977
483,387,264,1971.0,987,1680,6,483,1971,1971
1610,1200,480,1977.0,1610,10603,6,1610,1977,2001
1080,336,484,1983.0,1080,9187,6,1084,1983,1983
1622,1159,1356,1975.0,1622,32463,4,1249,1961,1975
802,714,413,1997.0,1511,11207,6,802,1997,1997
1152,1014,484,1964.0,1152,14112,5,1152,1964,1964
910,420,282,1950.0,1558,13710,5,910,1950,1950
1065,380,471,1993.0,1911,9554,8,777,1993,1994
1306,860,756,1968.0,1306,8712,5,992,1957,2000
1075,0,360,1910.0,2138,8100,5,849,1898,1965
1580,0,610,2004.0,2466,11143,8,1580,2004,2005
1085,600,440,1962.0,1734,9786,6,912,1962,1981
950,0,208,1929.0,1158,6000,6,862,1929,1950
1771,0,336,1960.0,1771,21750,5,0,1960,2006
958,120,440,1977.0,958,4928,6,1078,1976,1976
1828,48,774,2007.0,1828,11694,9,1822,2007,2007
1148,292,281,1949.0,1716,11409,5,768,1949,2008
1476,1330,858,2008.0,2713,14948,9,1452,2008,2008
959,425,560,1978.0,1367,6240,6,884,1931,1950
916,299,164,1915.0,1826,2500,7,910,1915,2005
1200,334,521,1995.0,1200,11249,6,1200,1995,1995
854,360,660,1991.0,1382,12358,5,720,1941,1950
728,0,400,2005.0,1456,8029,6,728,2005,2005
